title_id,publication_title,print_identifier,first_editor,date_monograph_published_online,date_monograph_published_print,title_url
pub169,"Innovation, Collaboration, and Models",978-1-932326-54-3,Cheryl Oestreicher,2015-11,2015-11,http://www.clir.org/pubs/reports/pub169
pub168,Building Expertise to Support Digital Scholarship: A Global Perspective,978-1-932326-51-2,Vivian Lewis,2015-10,2015-10,http://www.clir.org/pubs/reports/pub168
pub167,The Process of Discovery: The CLIR Postdoctoral Fellowship Program and the Future of the Academy,978-1-932326-52-9, John C. Maclachlan,2015-09,2015-09,http://www.clir.org/pubs/reports/pub167
pub166,The Once and Future Publishing Library,978-1-932326-53-6,Ann Okerson ,2015-07,2015-07,http://www.clir.org/pubs/reports/pub166
pub165,Getting Found: SEO Cookbook,"",Patrick O’Brien ,2015-05,2015-05,http://www.clir.org/pubs/reports/pub165
pub164,ARSC Guide to Audio Preservation,978-1-932326-50-5,Sam Brylawski,2015-05,2015-05,http://www.clir.org/pubs/reports/pub164
pub163,The Center of Excellence Model for Information Services,978-1-932326-49-9,Joy Kirchner,2015-02,2015-02,http://www.clir.org/pubs/reports/pub163
pub162,"The Changing Landscape of Library and Information Services: What Presidents, Provosts, and Finance Officers Need to Know","",Richard Holmgren ,2014-09,2014-09,http://www.clir.org/pubs/reports/pub162
pub161,"Participatory Design in Academic Libraries, New Reports and Findings",978-1-932326-48-2,Nancy Fried Foster,2014-02,2014-02,http://www.clir.org/pubs/reports/pub161
pub160,"Research Data Management: Principles, Practices, and Prospects",978-1-932326-47-5,,2013-11,2013-11,http://www.clir.org/pubs/reports/pub160
pub159,"Born Digital: Guidance for Donors, Dealers, and Archival Repositories",978-1-932326-46-8,Gabriela Redwine,2013-10,2013-10,http://www.clir.org/pubs/reports/pub159
pub158,The Survival of American Silent Feature Films: 1912–1929,978-1-932326-39-0,David Pierce,2013-09,2013-09,http://www.clir.org/pubs/reports/pub158
pub157,Images of Works of Art in Museum Collections: The Experience of Open Access,978-1-932326-45-1,Kristin Kelly,2013-06,2013-06,http://www.clir.org/pubs/reports/pub157
pub156,The Library of Congress National Recording Preservation Plan,978-1-932326-44-4,,2012-12,2012-12,http://www.clir.org/pubs/reports/pub156
pub155,"Participatory Design in Academic Libraries: Methods, Findings, and Implementations",978-1-932326-43-7,with introduction Nancy Fried Foster.,2012-10,2012-10,http://www.clir.org/pubs/reports/pub155
pub154,The Problem of Data,978-1-932326-42-0,Lori Jahnke,2012-08,2012-08,http://www.clir.org/pubs/reports/pub154
pub153,Core Infrastructure Considerations for Large Digital Libraries,978-1-932326-41-3,,2012-07,2012-07,http://www.clir.org/pubs/reports/pub153
pub152,"Linked Data for Libraries, Museums, and Archives: Survey and Workshop Report","",,2011-10,2011-10,http://www.clir.org/pubs/abstract/pub152abst.html/../reports/pub152
pub151,One Culture. Computationally Intensive Research in the Humanities and Social Sciences,978-1-932326-40-6,,2012-06,2012-06,http://www.clir.org/pubs/reports/pub151
pub150,"""Rome Wasn't Digitized in a Day"": Building a Cyberinfrastructure for Digital Classicists",978-1-932326-38-3,Alison Babeu,2011-08,2011-08,http://www.clir.org/pubs/abstract/pub150abst.html/../reports/pub150
pub149,Digital Forensics and Born-Digital Content in Cultural Heritage Collections,978-1-932326-37-6,Matthew G. Kirschenbaum,2010-12,2010-12,http://www.clir.org/pubs/abstract/pub149abst.html/../reports/pub149
pub148,The State of Recorded Sound Preservation in the United States: A National Legacy at Risk in the Digital Age,978-1-932326-36-9,,2010-08,2010-08,http://www.clir.org/pubs/abstract/pub148abst.html/../reports/pub148
pub147,The Idea of Order: Transforming Research Collections for 21st Century Scholarship,978-1-932326-35-2,,2010-06,2010-06,http://www.clir.org/pubs/abstract/pub147abst.html/../reports/pub147
pub146,Protection for Pre-1972 Sound Recordings under State Law and Its Impact on Use by Nonprofit Institutions: A 10-State Analysis,978-1-932326-34-5,,2009-09,2009-09,http://www.clir.org/pubs/abstract/pub146abst.html/../reports/pub146
pub145,Working Together or Apart: Promoting the Next Generation of Digital Scholarship,978-1-932326-33-8,,2009-03,2009-03,http://www.clir.org/pubs/abstract/pub145abst.html/../reports/pub145
pub144,Copyright and Related Issues Relevant to Digital Preservation and Dissemination of Unpublished Pre-1972 Sound Recordings by Libraries and Archives,978-1-932326-32-1,June M. Besek,2009-03,2009-03,http://www.clir.org/pubs/abstract/pub144abst.html/../reports/pub144
pub143,A Survey of Digital Humanities Centers in the United States,978-1-932326-31-4,Diane M. Zorich,2008-11,2008-11,http://www.clir.org/pubs/abstract/pub143abst.html/../reports/pub143
pub142,No Brief Candle: Reconceiving Research Libraries for the 21st Century,978-1-932326-30-7,,2008-08,2008-08,http://www.clir.org/pubs/abstract/pub142abst.html/../reports/pub142
pub141,"Preservation in the Age of Large-Scale Digitization, A White Paper",978-1-932326-29-1,Oya Y. Rieger,2008-02,2008-02,http://www.clir.org/pubs/abstract/pub141abst.html/../reports/pub141
pub140,Census of Institutional Repositories in the United States: MIRACLE Project Research Findings,978-1-932326-28-4,Karen Markey,2007-02,2007-02,http://www.clir.org/pubs/abstract/pub140abst.html/../reports/pub140
pub139,Library Workflow Redesign: Six Case Studies,978-1-932326-27-7,Marilyn Mitchell,2007-01,2007-01,http://www.clir.org/pubs/abstract/pub139abst.html/../reports/pub139
pub138,E-Journal Archiving Metes and Bounds: A Survey of the Landscape,1-932326-26-X,Anne R. Kenney,2006-09,2006-09,http://www.clir.org/pubs/abstract/pub138abst.html/../reports/pub138
pub137,Capturing Analog Sound for Digital Preservation: Report of a Roundtable Discussion of Best Practices for Transferring Analog Discs and Tapes,1-932326-25-1,,2006-03,2006-03,http://www.clir.org/pubs/abstract/pub137abst.html/../reports/pub137
pub136,Shidhulai Swanirvar Sangstha: Bringing Information Technology to Rural Bangladesh by Boat,1-932326-24-3,Arshad Mahmud,2006-02,2006-02,http://www.clir.org/pubs/abstract/pub136abst.html/../reports/pub136
pub135,Copyright Issues Relevant to Digital Preservation and Dissemination of Pre-1972 Commercial Sound Recordings by Libraries and Archives,1-932326-23-5,June M. Besek,2005-12,2005-12,http://www.clir.org/pubs/abstract/pub135abst.html/../reports/pub135
pub134,Acquiring Copyright Permission to Digitize and Provide Open Access to Books,1-932326-22-7,Denise Troll Covey,2005-10,2005-10,http://www.clir.org/pubs/abstract/pub134abst.html/../reports/pub134
pub133,Survey of Reissues of U.S. Recordings,1-932326-21-9,Tim Brooks,2005-08,2005-08,http://www.clir.org/pubs/abstract/pub133abst.html/../reports/pub133
pub132,A Kaleidoscope of Digital American Literature,1-932326-17-0,Martha L. BroganDaphnée Rentfrow,2005-09,2005-09,http://www.clir.org/pubs/abstract/pub132abst.html/../reports/pub132
pub131,"Århus Public Libraries Embracing Diversity, Empowering Citizens in Denmark",978-1-932326-20-8,Embracing Diversity,2005-07,2005-07,http://www.clir.org/pubs/abstract/pub131abst.html/../reports/pub131
pub130,EVERGREEN Bringing Information Resources to Rural China,978-1-932326-19-2,Geoffrey Z. Liu,2005-07,2005-07,http://www.clir.org/pubs/abstract/pub130abst.html/../reports/pub130
pub129,"Library as Place: Rethinking Roles, Rethinking Space",1-932326-13-8,,2005-02,2005-02,http://www.clir.org/pubs/abstract/pub129abst.html/../reports/pub129
pub128,Survey of the State of Audio Collections in Academic Libraries,1-932326-11-1,AbSmith,2004-08,2004-08,http://www.clir.org/pubs/abstract/pub128abst.html/../reports/pub128
pub127,The Nonsubscription Side of Periodicals: Changes in Library Operations and Costs between Print and Electronic Formats,1-932326-10-3,Roger C. Schonfeld,2004-06,2004-06,http://www.clir.org/pubs/abstract/pub127abst.html/../reports/pub127
pub126, Access in the Future Tense,1-932326-09-X,,2004-04,2004-04,http://www.clir.org/pubs/abstract/pub126abst.html/../reports/pub126
pub125,E-Powering the People: South Africa's Smart Cape Access Project,1-932326-08-1,Susan Valentine,2004-03,2004-03,http://www.clir.org/pubs/abstract/pub125abst.html/../reports/pub125
pub124,Business Planning for Cultural Heritage Institutions,1-932326-07-3,Liz Bishoff ,2004-01,2004-01,http://www.clir.org/pubs/abstract/pub124abst.html/../reports/pub124
pub123,Reflecting on Leadership,1-932326-06-5,Karin Wittenborg,2003-12,2003-12,http://www.clir.org/pubs/abstract/pub123abst.html/../reports/pub123
pub122,Libraries Designed for Learning,1-932326-05-7,Scott Bennett,2003-11,2003-11,http://www.clir.org/pubs/abstract/pub122abst.html/../reports/pub122
pub121,Care and Handling of CDs and DVDs: A Guide for Librarians and Archivists,1-932326-04-9,Fred R. Byers,2003-10,2003-10,http://www.clir.org/pubs/abstract/pub121abst.html/../reports/pub121
pub120,Use and Users of Electronic Library Resources: An Overview and Analysis of Recent Research Studies,"",Carol Tenopir,2003-08,2003-08,http://www.clir.org/pubs/abstract/pub120abst.html/..//reports/pub120
pub119,Emerging Visions for Access in the Twenty-first Century Library CONFERENCE PROCEEDINGS,1-932326-03-0,,2003-08,2003-08,http://www.clir.org/pubs/abstract/pub119abst.html/..//reports/pub119
pub118,A Survey of Digital Cultural Heritage Initiatives and Their Sustainability Concerns,1-932326-02-2,Diane M. Zorich,2003-06,2003-06,http://www.clir.org/pubs/abstract/pub118abst.html/..//reports/pub118
pub117,Developing Print Repositories: Models for Shared Preservation and Access,1-932326-01-4,Bernard F. Reilly,2003-06,2003-06,http://www.clir.org/pubs/abstract/pub117abst.html/..//reports/pub117
pub116,"National Digital Preservation Initiatives: An Overview of Developments in Australia, France, the Netherlands, and the United Kingdom and of Related International Activity",1-932326-00-6,Neil Beagrie,2003-04,2003-04,http://www.clir.org/pubs/abstract/pub116abst.html/..//reports/pub116
pub115,Library Buildings and the Building of a Collaborative Research Collection at the Tri-College Library Consortium,"",Judy Luther,2003-04,2003-04,http://www.clir.org/pubs/abstract/pub115abst.html/..//reports/pub115
pub114,New-Model Scholarship: How Will It Survive?,1-887334-99-8,AbSmith,2003-03,2003-03,http://www.clir.org/pubs/abstract/pub114abst.html/..//reports/pub114
pub113,"Biblored, Colombia's Innovative Library Network",1-887334-98-X,María Cristina Caballero,2003-02,2003-02,http://www.clir.org/pubs/abstract/pub113abst.html/..//reports/pub113
pub112,Copyright Issues Relevant to the Creation of a Digital Archive: A Preliminary Assessment,1-887334-97-1,June M. Besek,2003-01,2003-01,http://www.clir.org/pubs/abstract/pub112abst.html/..//reports/pub112
pub111,The State of Preservation Programs in American College and Research Libraries: Building a Common Understanding and Action Agenda,1-887334-96-3,Anne R. Kenney ,2002-12,2002-12,http://www.clir.org/pubs/abstract/pub111abst.html/..//reports/pub111
pub110,Dimensions and Use of the Scholarly Information Environment: Introduction to a Data Set,1-887334-94-7,Amy Friedl,2002-11,2002-11,http://www.clir.org/pubs/abstract/pub110abst.html/..//reports/pub110
pub109,The Digital Library: A Biography,1-887334-95-5,Daniel Greenstein ,2002-12,2002-12,http://www.clir.org/pubs/abstract/pub109abst.html/..//reports/pub109
pub108,Diffuse Libraries: Emergent Roles for the Research Library in the Digital Age,1-887334-93-9,Wendy Pradt Lougee,2002-08,2002-08,http://www.clir.org/pubs/abstract/pub108abst.html/..//reports/pub108
pub107,The State of Digital Preservation: An International Perspective. CONFERENCE PROCEEDINGS,1-887334-92-0,,2002-07,2002-07,http://www.clir.org/pubs/abstract/pub107abst.html/..//reports/pub107
pub106,Building a National Strategy for Preservation: Issues in Digital Media Archiving,1-887334-91-2,,2002-04,2002-04,http://www.clir.org/pubs/abstract/pub106abst.html/..//reports/pub106
pub105,Usage and Usability Assessment: Library Practices and Concerns,1-887334-89-0,Denise Troll Covey,2002-01,2002-01,http://www.clir.org/pubs/abstract/pub105abst.html/..//reports/pub105
pub104,Scholarly Work in the Humanities and the Evolving Information Environment,1-887334-90-4,William S. Brockman,2001-12,2001-12,http://www.clir.org/pubs/abstract/pub104abst.html/..//reports/pub104
pub103,The Evidence in Hand: Report of the Task Force on the Artifact in Library Collections,1-887334-88-2,,2001-11,2001-11,http://www.clir.org/pubs/abstract/pub103abst.html/..//reports/pub103
pub102,Proceedings of the 2000 Sino-United States Symposium and Workshop on Library and Information Science Education in the Digital Age,1-887334-86-6,D. E. Perushek,2000-11,2000-11,http://www.clir.org/pubs/abstract/pub102abst.html/..//reports/pub102
pub101,Strategies for Building Digitized Collections,1-887334-87-4,AbSmith,2001-09,2001-09,http://www.clir.org/pubs/abstract/pub101abst.html/..//reports/pub101
pub100, Building and Sustaining Digital Collections: Models for Libraries and Museums,1-887334-85-8,,2001-08,2001-08,http://www.clir.org/pubs/abstract/pub100abst.html/..//reports/pub100
pub99,Selection and Presentation of Commercially Available Electronic Resources: Issues and Practices,1-887334-84-X,Timothy D. Jewell,2001-07,2001-07,http://www.clir.org/pubs/abstract/pub99abst.html/..//reports/pub99
pub98,Building Sustainable Collections of Free Third-Party Web Resources,1-887334-83-1,Louis A. Pitschmann,2001-06,2001-06,http://www.clir.org/pubs/abstract/pub98abst.html/..//reports/pub98
pub97,A Collaborative Approach to Collection Storage: The Five-College Library Depository,1-887334-81-5,Willis E. Bridegam,2001-06,2001-06,http://www.clir.org/pubs/abstract/pub97abst.html/..//reports/pub97
pub96,Folk Heritage Collections in Crisis,1-887334-82-3,,2001-05,2001-05,http://www.clir.org/pubs/abstract/pub96abst.html/..//reports/pub96
pub95,Preservation Science Survey: An Overview of Recent Developments in Research on the Conservation of Selected Analog Library and Archival Materials,1-887334-80-7,Henk J. Porck ,2000-12,2000-12,http://www.clir.org/pubs/abstract/pub95abst.html/..//reports/pub95
pub94,White Paper on Electronic Journal Usage Statistics,1-887334-79-3,Judy Luther,2000-10,2000-10,http://www.clir.org/pubs/abstract/pub94abst.html/..//reports/pub94
pub93,Risk Management of Digital Information: A File Format Investigation,1-887334-78-5,Gregory W. Lawrence,2000-06,2000-06,http://www.clir.org/pubs/abstract/pub93abst.html/..//reports/pub93
pub92,Authenticity in a Digital Environment,1-887334-77-7,,2000-05,2000-05,http://www.clir.org/pubs/abstract/pub92abst.html/..//reports/pub92
pub91,Systems of Knowledge Organization for Digital Libraries: Beyond Traditional Authority Files,1-887334-76-9,Gail Hodge,2000-04,2000-04,http://www.clir.org/pubs/abstract/pub91abst.html/..//reports/pub91
pub90,Managing Cultural Assets from a Business Perspective,1-887334-75-0,Laura Price ,2000-03,2000-03,http://www.clir.org/pubs/abstract/pub90abst.html/..//reports/pub90
pub89,"Enduring Paradigm, New Opportunities: The Value of the Archival Perspective in the Digital Environment",1-887334-74-2,Anne J. Gillil,2000-02,2000-02,http://www.clir.org/pubs/abstract/pub89abst.html/..//reports/pub89
pub88,"Collections, Content, and the Web",1-887334-73-4,,2000-02,2000-02,http://www.clir.org/pubs/abstract/pub88abst.html/..//reports/pub88
pub87,The Making of America II Testbed Project: A Digital Library Service Model,1-887334-72-6,Bernard J. Hurley,1999-12,1999-12,http://www.clir.org/pubs/abstract/pub87abst.html/..//reports/pub87
pub86,Building Preservation Knowledge in Brazil,1-887334-71-8,Ingrid Beck,1999-11,1999-11,http://www.clir.org/pubs/abstract/pub86abst.html/..//reports/pub86
pub85,Innovative Use of Information Technology by Colleges,1-887334-70-X,,1999-08,1999-08,http://www.clir.org/pubs/abstract/pub85abst.html/..//reports/pub85
pub84,Securing Our Dance Heritage: Issues in the Documentation and Preservation of Dance,1-887334-69-6,Catherine J. Johnson ,1999-07,1999-07,http://www.clir.org/pubs/abstract/pub84abst.html/..//reports/pub84
pub83,Preserving the Whole: A Two-Track Approach to Rescuing Social Science Data and Metadata,1-887334-68-8,Ann Green,1999-06,1999-06,http://www.clir.org/pubs/abstract/pub83abst.html/..//reports/pub83
pub82,The Future of the Past: Preservation in American Research Libraries,1-887334-67-X,AbSmith,1999-04,1999-04,http://www.clir.org/pubs/abstract/pub82abst.html/..//reports/pub82
pub81,Digitization for Scholarly Use: The Boswell Papers Project at The Beinecke Rare Book and Manuscript Library,1-887334-66-1,Nicole Bouché,1999-03,1999-03,http://www.clir.org/pubs/abstract/pub81.html/..//reports/pub81-bouche
pub80,Why Digitize?,1-887334-65-3,AbSmith,1999-02,1999-02,http://www.clir.org/pubs/abstract/pub80.html/..//reports/pub80-smith
pub79,Enabling Access in Digital Libraries: A Report on a Workshop on Access Management,1-887334-64-5,Caroline Arms,1999-02,1999-02,http://www.clir.org/pubs/abstract/pub79.html/..//reports/arms-79
pub78,"Scholarship, Instruction, and Libraries at the Turn of the Century",1-887334-62-9,,1999-01,1999-01,http://www.clir.org/pubs/abstract/pub78.html/..//reports/pub78
pub77,Avoiding Technological Quicksand: Finding a Viable Technical Foundation for Digital Preservation,1-887334-63-7,Jeff Rothenberg,1999-01,1999-01,http://www.clir.org/pubs/abstract/pub77.html/..//reports/rothenberg
pub76,Computerization of the Archivo General de Indias: Strategies and Results,1-887334-61-0,Pedro González,1998-09,1998-09,http://www.clir.org/pubs/abstract/pub76.html/..//reports/gonzalez
pub75,The Mirage of Continuity: Reconfiguring Academic Information Resources for the 21st Century,"",Brian L. Hawkins ,1998-09,1998-09,http://www.clir.org/pubs/abstract/pub75.html/..//reports/pub75
pub74,Selecting Research Collections for Digitization,1-887334-60-2,Dan Hazen,1998-08,1998-08,http://www.clir.org/pubs/abstract/pub74.html/..//reports/hazen
pub73,"Public Libraries, Communities, and Technology: Twelve Case Studies","",,1996-11,1996-11,http://www.clir.org/pubs/abstract/pub73.html/..//reports/case
pub72,Library Systems: Current Developments and Future Directions,1-887334-58-0,Leigh Watson Healy,1998-05,1998-05,http://www.clir.org/pubs/abstract/pub72.html/..//reports/pub72
pub71,Digitizing Historical Pictorial Collections for the Internet,1-887334-57-2,Stephen Ostrow,1998-02,1998-02,http://www.clir.org/pubs/abstract/pub71.html/..//reports/ostrow
pub70,Preservation and Archives in Vietnam,1-887334-56-4,Judith Henchy,1998-02,1998-02,http://www.clir.org/pubs/abstract/pub70.html/..//reports/henchy
pub69,Digitization as a Method of Preservation?,1-887334-53-6,Hartmut Weber ,1997-10,1997-10,http://www.clir.org/pubs/abstract/pub69.html/..//reports/digpres
pub68,SGML as a Framework for Digital Preservation and Access,1-887334-54-8,James Coleman ,1997-07,1997-07,http://www.clir.org/pubs/abstract/pub68.html/..//reports/pub68
pub67,Digital Image Collections,1-887334-53-X,Michael Ester,1996-12,1996-12,http://www.clir.org/pubs/abstract/pub67.html/..//reports/pub67
pub65,Mass Deacidification,1-887334-52-1,Henk Porck,1996-10,1996-10,http://www.clir.org/pubs/abstract/pub65.html/..//reports/pub65
pub64,Preservation Challenges in a Changing Political Climate. A Report from Russia,1-887334-51-3,Galina Kislovskaya,1996-09,1996-09,http://www.clir.org/pubs/abstract/pub64.html/..//reports/pub64
pub63,"Preserving Digital Information, Report of the Task Force on Archiving of Digital Information","",Donald Waters ,1996-05,1996-05,http://www.clir.org/pubs/abstract/pub63.html/..//reports/pub63
pub62,Preservation in the Digital World,1-887334-49-1,Paul Conway,1996-03,1996-03,http://www.clir.org/pubs/abstract/pub62.html/..//reports/conway2
pub61,Digital Collections Inventory Report,1-887334-48-3,Patricia A. McClung,1996-02,1996-02,http://www.clir.org/pubs/abstract/pub61.html/..//reports/mcclung
pub60,Preservation Activities in Canada,1-887334-47-5,Karen Turko,1996-02,1996-02,http://www.clir.org/pubs/abstract/pub60.html/..//reports/pub60
pub59,New Tools for Preservation,1-887334-46-7,James M. Reilly,1995-11,1995-11,http://www.clir.org/pubs/abstract/pub59.html/..//reports/pub59
pub58,Difficult Choices,1-887334-43-2,,1995-08,1995-08,http://www.clir.org/pubs/abstract/pub58.html/..//reports/pub58
pub57,Digital Imaging of Papyri,1-887334-44-0,Roger S. Bagnall,1995-09,1995-09,http://www.clir.org/pubs/abstract/pub57.html/..//reports/pub57
pub56,"Oversize Color Images Project, 1994-1995",1-887334-42-4,Janet Gertz,1995-08,1995-08,http://www.clir.org/pubs/abstract/pub56.html/..//reports/pub56
pub55,Preservation Priorities in Latin America,1-887334-41-6,Dan C.Hazen,1995-07,1995-07,http://www.clir.org/pubs/abstract/pub55.html/..//reports/pub55
pub54,Magnetic Tape Storage and Handling,1-887334-40-8,John Van Bogart,1995-06,1995-06,http://www.clir.org/pubs/abstract/pub54.html/..//reports/pub54
pub53,Digital Resolution Requirements for Replacing Text-Based Material: Methods for Benchmarking Image Quality,1-887334-38-6,Anne R. Kenney ,1995-04,1995-04,http://www.clir.org/pubs/abstract/pub53.html/..//reports/pub53
pub52,The European Register of Microform Masters—Supporting International Cooperation,1-887334-37-8,,1995-05,1995-05,http://www.clir.org/pubs/abstract/pub52.html/..//reports/pub52
pub51,Preservation Activities in Bulgaria,1-887334-36-X,Sonja Jordan,1995-02,1995-02,http://www.clir.org/pubs/abstract/pub51.html/..//reports/pub51
pub50,The International Program and Its Global Mission. Introduction to Report Series,1-887334-35-1,,1995-01,1995-01,http://www.clir.org/pubs/abstract/pub50.html/..//reports/pub50
pub48,The Commission on Preservation and Access Working Paper on the Future,1-887334-30-0,,1994-02,1994-02,http://www.clir.org/pubs/abstract/pub48.html/..//reports/pub48-1
pub47,The Setup Phase of Project Open Book,1-887334-34-3,Paul Conway ,1994-06,1994-06,http://www.clir.org/pubs/abstract/pub47.html/..//reports/conway
pub46,Isoperms - An Environmental Management Tool,1-887334-33-5,Donald Sebera,1994-06,1994-06,http://www.clir.org/pubs/abstract/pub46.html/..//reports/isoperm
pub45,Intellectual Preservation,1-887334-32-7,Peter S. Graham,1994-03,1994-03,http://www.clir.org/pubs/abstract/pub45.html/..//reports/graham
pub44, The Digital Preservation Consortium,1-887334-31-9,Donald Waters ,1994-03,1994-03,http://www.clir.org/pubs/abstract/pub44.html/..//reports/dpcmiss
pub41,"Preserving The Intellectual Heritage, A Report of The Bellagio Conference held at the Rockefeller Foundation Study and Conference Center, Bellagio, Italy",1-887334-28-9,,1993-10,1993-10,http://www.clir.org/pubs/abstract/pub41.html/..//reports/bellagio
pub40,"Directory of Information Sources On Scientific Research Related to the Preservation of Sound Recordings, Still And Moving Images, and Magnetic Tape",1-887334-27-0,Margaret Child,1993-09,1993-09,http://www.clir.org/pubs/abstract/pub40.html/..//reports/child
pub39,The Evolving National Information Network,1-887334-26-2,Douglas Van Houweling ,1993-07,1993-07,http://www.clir.org/pubs/abstract/pub39.html/..//reports/evolv
pub38,Preservation Film,1-887334-25-4,C. Lee Jones,1993-07,1993-07,http://www.clir.org/pubs/abstract/pub38.html/..//reports/pub38
pub37,Opto-Electronic Storage,1-887334-24-6,Hartmut Weber,1993-02,1993-02,http://www.clir.org/pubs/abstract/pub37.html/..//reports/weber
pub36,Report of the Task Forces on Archival Selection,1-887334-23-8,,1993-04,1993-04,http://www.clir.org/pubs/abstract/pub36.html/..//reports/arcrept
pub34,"The International Project, 1992 Update",1-887334-22-X,Hans Rütimann,1993-01,1993-01,http://www.clir.org/pubs/abstract/pub34.html/..//reports/intern92
pub32,A Hybrid Systems Approach to Preservation of Printed Materials,1-887334-21-1,Don Willis,1992-11,1992-11,http://www.clir.org/pubs/abstract/pub32.html/..//reports/willis
pub29,Survey of Micropublishers,1-887334-20-3,Erich Kesse,1992-10,1992-10,http://www.clir.org/pubs/abstract/pub29.html/..//reports/kesse
pub28,Preservation of New Technology. A Report of the Technology Assessment Advisory Committee,1-887334-19-X,Michael Lesk,1992-10,1992-10,http://www.clir.org/pubs/abstract/pub28.html/..//reports/lesk
pub27,The Organizational Phase of Project Open Book,1-887334-18-1,Don Waters ,1992-09,1992-09,http://www.clir.org/pubs/abstract/pub27.html/..//reports/openbook
pub26,Joint Study in Digital Preservation,1-887334-17-3,Anne Kenney ,1992-09,1992-09,http://www.clir.org/pubs/abstract/pub26.html/..//reports/joint
pub25,Electronic Technologies and Preservation,1-887334-16-5,Don Waters,1992-06,1992-06,http://www.clir.org/pubs/abstract/pub25.html/..//reports/waters
pub24,Preserving the Illustrated Text. Report of the Joint Task Force on Text and Image,1-887334-15-7,,1992-04,1992-04,http://www.clir.org/pubs/abstract/pub24.html/..//reports/presillu
pub23,Preservation and Access in China,1-887334-14-9,,1992-03,1992-03,http://www.clir.org/pubs/abstract/pub23.html/..//reports/china
pub22,"Computerization Project of the Archivo General de Indias, Seville, Spain",1-887334-13-0,Hans Rütimann ,1992-03,1992-03,http://www.clir.org/pubs/abstract/pub22.html/..//reports/archivo
pub21,Jewelry History,1-887334-12-2,Christine De Bow Klein,1992-02,1992-02,http://www.clir.org/pubs/abstract/pub21.html/..//reports/jewel
pub20,Review and Assessment Committee Final Report,"",,1991-09,1991-09,http://www.clir.org/pubs/abstract/pub20.html/..//reports/revass
pub18,Report on Preservation Planning Project,1-887334-10-6,,1991-09,1991-09,http://www.clir.org/pubs/abstract/pub18.html/..//reports/upenn
pub17,"Computer Images for Research, Teaching, and Publication in Art History and Related Disciplines","",Charles S. Rhyne,1996-01,1996-01,http://www.clir.org/pubs/abstract/pub17.html/..//reports/pub17
pub16,Working Together by Condict Gaye Stevenson,1-887334-09-2,,1991-09,1991-09,http://www.clir.org/pubs/abstract/pub16.html/..//reports/wktogthr
pub15,Preserving the Literary Heritage. The Final Report of the Scholarly Advisory Committee on Modern Language and Literature,1-887334-08-4,Hillis Miller,1991-07,1991-07,http://www.clir.org/pubs/abstract/pub15.html/..//reports/miller
pub11,Copyright and Preservation,1-887334-04-1,Robert Oakley,1990-09,1990-09,http://www.clir.org/pubs/abstract/pub11.html/..//reports/oakley
pub10,Preservation and Access Technology. A Structured Glossary of Technical Terms,1-887334-03-3,Stuart Lynn,1990-08,1990-08,http://www.clir.org/pubs/abstract/pub10.html/..//reports/lynn
pub9,Preservation Education Institute Final Report,1-887334-02-5,Deanna Marcum,1990-08,1990-08,http://www.clir.org/pubs/abstract/pub9.html/..//reports/educinst
pub8,Technical Considerations in Choosing Mass Deacidification Processes,1-887334-01-7,Peter Sparks,1990-05,1990-05,http://www.clir.org/pubs/abstract/pub8.html/..//reports/sparks
pub7,Scholarly Resources in Art History,1-887334-00-9,,1989-08,1989-08,http://www.clir.org/pubs/abstract/pub7.html/..//reports/cpaarth
pub6,"Directory of Information Sources on Scientific Research Related to the Preservation of Books, Paper, and Adhesives",1-887334-45-9,,1990-03,1990-03,http://www.clir.org/pubs/abstract/pub6.html/..//reports/dirsci
pub5,Image Formats for Preservation and Access. A Report of the Technology Assessment Advisory Committee,1-887334-39-4,Michael Lesk,1990-07,1990-07,http://www.clir.org/pubs/abstract/pub5.html/..//reports/pub5
