title,isbn,date_start_full_text_coverage,date_end_full_text_coverage,title_url
"Innovation, Collaboration, and Models",ISBN 978-1-932326-54-3,1992,2015,http://www.clir.org/pubs/reports/pub169
Building Expertise to Support Digital Scholarship: A Global Perspective,ISBN 978-1-932326-51-2,1992,2015,http://www.clir.org/pubs/reports/pub168
The Process of Discovery: The CLIR Postdoctoral Fellowship Program and the Future of the Academy,ISBN 978-1-932326-52-9,1992,2015,http://www.clir.org/pubs/reports/pub167
The Once and Future Publishing Library,ISBN 978-1-932326-53-6,1992,2015,http://www.clir.org/pubs/reports/pub166
Getting Found: SEO Cookbook,,1992,2015,http://www.clir.org/pubs/reports/pub165
ARSC Guide to Audio Preservation,ISBN 978-1-932326-50-5,1992,2015,http://www.clir.org/pubs/reports/pub164
The Center of Excellence Model for Information Services,ISBN 978-1-932326-49-9,1992,2015,http://www.clir.org/pubs/reports/pub163
"The Changing Landscape of Library and Information Services: What Presidents, Provosts, and Finance Officers Need to Know",,1992,2015,http://www.clir.org/pubs/reports/pub162
"Participatory Design in Academic Libraries, New Reports and Findings",ISBN 978-1-932326-48-2,1992,2015,http://www.clir.org/pubs/reports/pub161
"Research Data Management: Principles, Practices, and Prospects",ISBN 978-1-932326-47-5,1992,2015,http://www.clir.org/pubs/reports/pub160
"Born Digital: Guidance for Donors, Dealers, and Archival Repositories",ISBN 978-1-932326-46-8,1992,2015,http://www.clir.org/pubs/reports/pub159
The Survival of American Silent Feature Films: 1912–1929,ISBN 978-1-932326-39-0,1992,2015,http://www.clir.org/pubs/reports/pub158
Images of Works of Art in Museum Collections: The Experience of Open Access,ISBN 978-1-932326-45-1,1992,2015,http://www.clir.org/pubs/reports/pub157
The Library of Congress National Recording Preservation Plan,ISBN 978-1-932326-44-4,1992,2015,http://www.clir.org/pubs/reports/pub156
"Participatory Design in Academic Libraries: Methods, Findings, and Implementations",ISBN 978-1-932326-43-7,1992,2015,http://www.clir.org/pubs/reports/pub155
The Problem of Data,ISBN 978-1-932326-42-0,1992,2015,http://www.clir.org/pubs/reports/pub154
Core Infrastructure Considerations for Large Digital Libraries,ISBN 978-1-932326-41-3,1992,2015,http://www.clir.org/pubs/reports/pub153
"Linked Data for Libraries, Museums, and Archives: Survey and Workshop Report",,1992,2015,http://www.clir.org/pubs/abstract/pub152abst.html/../reports/pub152
One Culture. Computationally Intensive Research in the Humanities and Social Sciences,ISBN 978-1-932326-40-6,1992,2015,http://www.clir.org/pubs/reports/pub151
"""Rome Wasn't Digitized in a Day"": Building a Cyberinfrastructure for Digital Classicists",ISBN 978-1-932326-38-3,1992,2015,http://www.clir.org/pubs/abstract/pub150abst.html/../reports/pub150
Digital Forensics and Born-Digital Content in Cultural Heritage Collections,ISBN 978-1-932326-37-6,1992,2015,http://www.clir.org/pubs/abstract/pub149abst.html/../reports/pub149
The State of Recorded Sound Preservation in the United States: A National Legacy at Risk in the Digital Age,ISBN 978-1-932326-36-9,1992,2015,http://www.clir.org/pubs/abstract/pub148abst.html/../reports/pub148
The Idea of Order: Transforming Research Collections for 21st Century Scholarship,ISBN 978-1-932326-35-2,1992,2015,http://www.clir.org/pubs/abstract/pub147abst.html/../reports/pub147
Protection for Pre-1972 Sound Recordings under State Law and Its Impact on Use by Nonprofit Institutions: A 10-State Analysis,ISBN 978-1-932326-34-5,1992,2015,http://www.clir.org/pubs/abstract/pub146abst.html/../reports/pub146
Working Together or Apart: Promoting the Next Generation of Digital Scholarship,ISBN 978-1-932326-33-8,1992,2015,http://www.clir.org/pubs/abstract/pub145abst.html/../reports/pub145
Copyright and Related Issues Relevant to Digital Preservation and Dissemination of Unpublished Pre-1972 Sound Recordings by Libraries and Archives,ISBN 978-1-932326-32-1,1992,2015,http://www.clir.org/pubs/abstract/pub144abst.html/../reports/pub144
A Survey of Digital Humanities Centers in the United States,ISBN 978-1-932326-31-4,1992,2015,http://www.clir.org/pubs/abstract/pub143abst.html/../reports/pub143
No Brief Candle: Reconceiving Research Libraries for the 21st Century,ISBN 978-1-932326-30-7,1992,2015,http://www.clir.org/pubs/abstract/pub142abst.html/../reports/pub142
"Preservation in the Age of Large-Scale Digitization, A White Paper",ISBN 978-1-932326-29-1,1992,2015,http://www.clir.org/pubs/abstract/pub141abst.html/../reports/pub141
Census of Institutional Repositories in the United States: MIRACLE Project Research Findings,ISBN 978-1-932326-28-4,1992,2015,http://www.clir.org/pubs/abstract/pub140abst.html/../reports/pub140
Library Workflow Redesign: Six Case Studies,ISBN 978-1-932326-27-7,1992,2015,http://www.clir.org/pubs/abstract/pub139abst.html/../reports/pub139
E-Journal Archiving Metes and Bounds: A Survey of the Landscape,ISBN 1-932326-26-X,1992,2015,http://www.clir.org/pubs/abstract/pub138abst.html/../reports/pub138
Capturing Analog Sound for Digital Preservation: Report of a Roundtable Discussion of Best Practices for Transferring Analog Discs and Tapes,ISBN 1-932326-25-1,1992,2015,http://www.clir.org/pubs/abstract/pub137abst.html/../reports/pub137
Shidhulai Swanirvar Sangstha: Bringing Information Technology to Rural Bangladesh by Boat,ISBN 1-932326-24-3,1992,2015,http://www.clir.org/pubs/abstract/pub136abst.html/../reports/pub136
Copyright Issues Relevant to Digital Preservation and Dissemination of Pre-1972 Commercial Sound Recordings by Libraries and Archives,ISBN 1-932326-23-5,1992,2015,http://www.clir.org/pubs/abstract/pub135abst.html/../reports/pub135
Acquiring Copyright Permission to Digitize and Provide Open Access to Books,ISBN 1-932326-22-7,1992,2015,http://www.clir.org/pubs/abstract/pub134abst.html/../reports/pub134
Survey of Reissues of U.S. Recordings,ISBN 1-932326-21-9,1992,2015,http://www.clir.org/pubs/abstract/pub133abst.html/../reports/pub133
A Kaleidoscope of Digital American Literature,ISBN 1-932326-17-0,1992,2015,http://www.clir.org/pubs/abstract/pub132abst.html/../reports/pub132
"Århus Public Libraries Embracing Diversity, Empowering Citizens in Denmark",ISBN 978-1-932326-20-8,1992,2015,http://www.clir.org/pubs/abstract/pub131abst.html/../reports/pub131
EVERGREEN Bringing Information Resources to Rural China,ISBN 978-1-932326-19-2,1992,2015,http://www.clir.org/pubs/abstract/pub130abst.html/../reports/pub130
"Library as Place: Rethinking Roles, Rethinking Space",ISBN 1-932326-13-8,1992,2015,http://www.clir.org/pubs/abstract/pub129abst.html/../reports/pub129
Survey of the State of Audio Collections in Academic Libraries,ISBN 1-932326-11-1,1992,2015,http://www.clir.org/pubs/abstract/pub128abst.html/../reports/pub128
The Nonsubscription Side of Periodicals: Changes in Library Operations and Costs between Print and Electronic Formats,ISBN 1-932326-10-3,1992,2015,http://www.clir.org/pubs/abstract/pub127abst.html/../reports/pub127
 Access in the Future Tense,ISBN 1-932326-09-X,1992,2015,http://www.clir.org/pubs/abstract/pub126abst.html/../reports/pub126
E-Powering the People: South Africa's Smart Cape Access Project,ISBN 1-932326-08-1,1992,2015,http://www.clir.org/pubs/abstract/pub125abst.html/../reports/pub125
Business Planning for Cultural Heritage Institutions,ISBN 1-932326-07-3,1992,2015,http://www.clir.org/pubs/abstract/pub124abst.html/../reports/pub124
Reflecting on Leadership,ISBN 1-932326-06-5,1992,2015,http://www.clir.org/pubs/abstract/pub123abst.html/../reports/pub123
Libraries Designed for Learning,ISBN 1-932326-05-7,1992,2015,http://www.clir.org/pubs/abstract/pub122abst.html/../reports/pub122
Care and Handling of CDs and DVDs: A Guide for Librarians and Archivists,ISBN 1-932326-04-9,1992,2015,http://www.clir.org/pubs/abstract/pub121abst.html/../reports/pub121
Use and Users of Electronic Library Resources: An Overview and Analysis of Recent Research Studies,,1992,2015,http://www.clir.org/pubs/abstract/pub120abst.html/..//reports/pub120
Emerging Visions for Access in the Twenty-first Century Library CONFERENCE PROCEEDINGS,ISBN 1-932326-03-0,1992,2015,http://www.clir.org/pubs/abstract/pub119abst.html/..//reports/pub119
A Survey of Digital Cultural Heritage Initiatives and Their Sustainability Concerns,ISBN 1-932326-02-2,1992,2015,http://www.clir.org/pubs/abstract/pub118abst.html/..//reports/pub118
Developing Print Repositories: Models for Shared Preservation and Access,ISBN 1-932326-01-4,1992,2015,http://www.clir.org/pubs/abstract/pub117abst.html/..//reports/pub117
"National Digital Preservation Initiatives: An Overview of Developments in Australia, France, the Netherlands, and the United Kingdom and of Related International Activity",ISBN 1-932326-00-6,1992,2015,http://www.clir.org/pubs/abstract/pub116abst.html/..//reports/pub116
Library Buildings and the Building of a Collaborative Research Collection at the Tri-College Library Consortium,,1992,2015,http://www.clir.org/pubs/abstract/pub115abst.html/..//reports/pub115
New-Model Scholarship: How Will It Survive?,ISBN 1-887334-99-8,1992,2015,http://www.clir.org/pubs/abstract/pub114abst.html/..//reports/pub114
"Biblored, Colombia's Innovative Library Network",ISBN 1-887334-98-X,1992,2015,http://www.clir.org/pubs/abstract/pub113abst.html/..//reports/pub113
Copyright Issues Relevant to the Creation of a Digital Archive: A Preliminary Assessment,ISBN 1-887334-97-1,1992,2015,http://www.clir.org/pubs/abstract/pub112abst.html/..//reports/pub112
The State of Preservation Programs in American College and Research Libraries: Building a Common Understanding and Action Agenda,ISBN 1-887334-96-3,1992,2015,http://www.clir.org/pubs/abstract/pub111abst.html/..//reports/pub111
Dimensions and Use of the Scholarly Information Environment: Introduction to a Data Set,ISBN 1-887334-94-7,1992,2015,http://www.clir.org/pubs/abstract/pub110abst.html/..//reports/pub110
The Digital Library: A Biography,ISBN 1-887334-95-5,1992,2015,http://www.clir.org/pubs/abstract/pub109abst.html/..//reports/pub109
Diffuse Libraries: Emergent Roles for the Research Library in the Digital Age,ISBN 1-887334-93-9,1992,2015,http://www.clir.org/pubs/abstract/pub108abst.html/..//reports/pub108
The State of Digital Preservation: An International Perspective. CONFERENCE PROCEEDINGS,ISBN 1-887334-92-0,1992,2015,http://www.clir.org/pubs/abstract/pub107abst.html/..//reports/pub107
Building a National Strategy for Preservation: Issues in Digital Media Archiving,ISBN 1-887334-91-2,1992,2015,http://www.clir.org/pubs/abstract/pub106abst.html/..//reports/pub106
Usage and Usability Assessment: Library Practices and Concerns,ISBN 1-887334-89-0,1992,2015,http://www.clir.org/pubs/abstract/pub105abst.html/..//reports/pub105
Scholarly Work in the Humanities and the Evolving Information Environment,ISBN 1-887334-90-4,1992,2015,http://www.clir.org/pubs/abstract/pub104abst.html/..//reports/pub104
The Evidence in Hand: Report of the Task Force on the Artifact in Library Collections,ISBN 1-887334-88-2,1992,2015,http://www.clir.org/pubs/abstract/pub103abst.html/..//reports/pub103
Proceedings of the 2000 Sino-United States Symposium and Workshop on Library and Information Science Education in the Digital Age,ISBN 1-887334-86-6,1992,2015,http://www.clir.org/pubs/abstract/pub102abst.html/..//reports/pub102
Strategies for Building Digitized Collections,ISBN 1-887334-87-4,1992,2015,http://www.clir.org/pubs/abstract/pub101abst.html/..//reports/pub101
 Building and Sustaining Digital Collections: Models for Libraries and Museums,ISBN 1-887334-85-8,1992,2015,http://www.clir.org/pubs/abstract/pub100abst.html/..//reports/pub100
Selection and Presentation of Commercially Available Electronic Resources: Issues and Practices,ISBN 1-887334-84-X,1992,2015,http://www.clir.org/pubs/abstract/pub99abst.html/..//reports/pub99
Building Sustainable Collections of Free Third-Party Web Resources,ISBN 1-887334-83-1,1992,2015,http://www.clir.org/pubs/abstract/pub98abst.html/..//reports/pub98
A Collaborative Approach to Collection Storage: The Five-College Library Depository,ISBN 1-887334-81-5,1992,2015,http://www.clir.org/pubs/abstract/pub97abst.html/..//reports/pub97
Folk Heritage Collections in Crisis,ISBN 1-887334-82-3,1992,2015,http://www.clir.org/pubs/abstract/pub96abst.html/..//reports/pub96
Preservation Science Survey: An Overview of Recent Developments in Research on the Conservation of Selected Analog Library and Archival Materials,ISBN 1-887334-80-7,1992,2015,http://www.clir.org/pubs/abstract/pub95abst.html/..//reports/pub95
White Paper on Electronic Journal Usage Statistics,ISBN 1-887334-79-3,1992,2015,http://www.clir.org/pubs/abstract/pub94abst.html/..//reports/pub94
Risk Management of Digital Information: A File Format Investigation,ISBN 1-887334-78-5,1992,2015,http://www.clir.org/pubs/abstract/pub93abst.html/..//reports/pub93
Authenticity in a Digital Environment,ISBN 1-887334-77-7,1992,2015,http://www.clir.org/pubs/abstract/pub92abst.html/..//reports/pub92
Systems of Knowledge Organization for Digital Libraries: Beyond Traditional Authority Files,ISBN 1-887334-76-9,1992,2015,http://www.clir.org/pubs/abstract/pub91abst.html/..//reports/pub91
Managing Cultural Assets from a Business Perspective,ISBN 1-887334-75-0,1992,2015,http://www.clir.org/pubs/abstract/pub90abst.html/..//reports/pub90
"Enduring Paradigm, New Opportunities: The Value of the Archival Perspective in the Digital Environment",ISBN 1-887334-74-2,1992,2015,http://www.clir.org/pubs/abstract/pub89abst.html/..//reports/pub89
"Collections, Content, and the Web",ISBN 1-887334-73-4,1992,2015,http://www.clir.org/pubs/abstract/pub88abst.html/..//reports/pub88
The Making of America II Testbed Project: A Digital Library Service Model,ISBN 1-887334-72-6,1992,2015,http://www.clir.org/pubs/abstract/pub87abst.html/..//reports/pub87
Building Preservation Knowledge in Brazil,ISBN 1-887334-71-8,1992,2015,http://www.clir.org/pubs/abstract/pub86abst.html/..//reports/pub86
Innovative Use of Information Technology by Colleges,ISBN 1-887334-70-X,1992,2015,http://www.clir.org/pubs/abstract/pub85abst.html/..//reports/pub85
Securing Our Dance Heritage: Issues in the Documentation and Preservation of Dance,ISBN 1-887334-69-6,1992,2015,http://www.clir.org/pubs/abstract/pub84abst.html/..//reports/pub84
Preserving the Whole: A Two-Track Approach to Rescuing Social Science Data and Metadata,ISBN 1-887334-68-8,1992,2015,http://www.clir.org/pubs/abstract/pub83abst.html/..//reports/pub83
The Future of the Past: Preservation in American Research Libraries,ISBN 1-887334-67-X,1992,2015,http://www.clir.org/pubs/abstract/pub82abst.html/..//reports/pub82
Digitization for Scholarly Use: The Boswell Papers Project at The Beinecke Rare Book and Manuscript Library,ISBN 1-887334-66-1,1992,2015,http://www.clir.org/pubs/abstract/pub81.html/..//reports/pub81-bouche
Why Digitize?,ISBN 1-887334-65-3,1992,2015,http://www.clir.org/pubs/abstract/pub80.html/..//reports/pub80-smith
Enabling Access in Digital Libraries: A Report on a Workshop on Access Management,ISBN 1-887334-64-5,1992,2015,http://www.clir.org/pubs/abstract/pub79.html/..//reports/arms-79
"Scholarship, Instruction, and Libraries at the Turn of the Century",ISBN 1-887334-62-9,1992,2015,http://www.clir.org/pubs/abstract/pub78.html/..//reports/pub78
Avoiding Technological Quicksand: Finding a Viable Technical Foundation for Digital Preservation,ISBN 1-887334-63-7,1992,2015,http://www.clir.org/pubs/abstract/pub77.html/..//reports/rothenberg
Computerization of the Archivo General de Indias: Strategies and Results,ISBN 1-887334-61-0,1992,2015,http://www.clir.org/pubs/abstract/pub76.html/..//reports/gonzalez
The Mirage of Continuity: Reconfiguring Academic Information Resources for the 21st Century,,1992,2015,http://www.clir.org/pubs/abstract/pub75.html/..//reports/pub75
Selecting Research Collections for Digitization,ISBN 1-887334-60-2,1992,2015,http://www.clir.org/pubs/abstract/pub74.html/..//reports/hazen
"Public Libraries, Communities, and Technology: Twelve Case Studies",,1992,2015,http://www.clir.org/pubs/abstract/pub73.html/..//reports/case
Library Systems: Current Developments and Future Directions,ISBN 1-887334-58-0,1992,2015,http://www.clir.org/pubs/abstract/pub72.html/..//reports/pub72
Digitizing Historical Pictorial Collections for the Internet,ISBN 1-887334-57-2,1992,2015,http://www.clir.org/pubs/abstract/pub71.html/..//reports/ostrow
Preservation and Archives in Vietnam,ISBN 1-887334-56-4,1992,2015,http://www.clir.org/pubs/abstract/pub70.html/..//reports/henchy
Digitization as a Method of Preservation?,ISBN 1-887334-53-6,1992,2015,http://www.clir.org/pubs/abstract/pub69.html/..//reports/digpres
SGML as a Framework for Digital Preservation and Access,ISBN 1-887334-54-8,1992,2015,http://www.clir.org/pubs/abstract/pub68.html/..//reports/pub68
Digital Image Collections,ISBN 1-887334-53-X,1992,2015,http://www.clir.org/pubs/abstract/pub67.html/..//reports/pub67
Mass Deacidification,ISBN 1-887334-52-1,1992,2015,http://www.clir.org/pubs/abstract/pub65.html/..//reports/pub65
Preservation Challenges in a Changing Political Climate. A Report from Russia,ISBN 1-887334-51-3,1992,2015,http://www.clir.org/pubs/abstract/pub64.html/..//reports/pub64
"Preserving Digital Information, Report of the Task Force on Archiving of Digital Information",,1992,2015,http://www.clir.org/pubs/abstract/pub63.html/..//reports/pub63
Preservation in the Digital World,ISBN 1-887334-49-1,1992,2015,http://www.clir.org/pubs/abstract/pub62.html/..//reports/conway2
Digital Collections Inventory Report,ISBN 1-887334-48-3,1992,2015,http://www.clir.org/pubs/abstract/pub61.html/..//reports/mcclung
Preservation Activities in Canada,ISBN 1-887334-47-5,1992,2015,http://www.clir.org/pubs/abstract/pub60.html/..//reports/pub60
New Tools for Preservation,ISBN 1-887334-46-7,1992,2015,http://www.clir.org/pubs/abstract/pub59.html/..//reports/pub59
Difficult Choices,ISBN 1-887334-43-2,1992,2015,http://www.clir.org/pubs/abstract/pub58.html/..//reports/pub58
Digital Imaging of Papyri,ISBN 1-887334-44-0,1992,2015,http://www.clir.org/pubs/abstract/pub57.html/..//reports/pub57
"Oversize Color Images Project, 1994-1995",ISBN 1-887334-42-4,1992,2015,http://www.clir.org/pubs/abstract/pub56.html/..//reports/pub56
Preservation Priorities in Latin America,ISBN 1-887334-41-6,1992,2015,http://www.clir.org/pubs/abstract/pub55.html/..//reports/pub55
Magnetic Tape Storage and Handling,ISBN 1-887334-40-8,1992,2015,http://www.clir.org/pubs/abstract/pub54.html/..//reports/pub54
Digital Resolution Requirements for Replacing Text-Based Material: Methods for Benchmarking Image Quality,ISBN 1-887334-38-6,1992,2015,http://www.clir.org/pubs/abstract/pub53.html/..//reports/pub53
The European Register of Microform Masters—Supporting International Cooperation,ISBN 1-887334-37-8,1992,2015,http://www.clir.org/pubs/abstract/pub52.html/..//reports/pub52
Preservation Activities in Bulgaria,ISBN 1-887334-36-X,1992,2015,http://www.clir.org/pubs/abstract/pub51.html/..//reports/pub51
The International Program and Its Global Mission. Introduction to Report Series,ISBN 1-887334-35-1,1992,2015,http://www.clir.org/pubs/abstract/pub50.html/..//reports/pub50
The Commission on Preservation and Access Working Paper on the Future,ISBN 1-887334-30-0,1992,2015,http://www.clir.org/pubs/abstract/pub48.html/..//reports/pub48-1
The Setup Phase of Project Open Book,ISBN 1-887334-34-3,1992,2015,http://www.clir.org/pubs/abstract/pub47.html/..//reports/conway
Isoperms - An Environmental Management Tool,ISBN 1-887334-33-5,1992,2015,http://www.clir.org/pubs/abstract/pub46.html/..//reports/isoperm
Intellectual Preservation,ISBN 1-887334-32-7,1992,2015,http://www.clir.org/pubs/abstract/pub45.html/..//reports/graham
 The Digital Preservation Consortium,ISBN 1-887334-31-9,1992,2015,http://www.clir.org/pubs/abstract/pub44.html/..//reports/dpcmiss
"Preserving The Intellectual Heritage, A Report of The Bellagio Conference held at the Rockefeller Foundation Study and Conference Center, Bellagio, Italy",ISBN 1-887334-28-9,1992,2015,http://www.clir.org/pubs/abstract/pub41.html/..//reports/bellagio
"Directory of Information Sources On Scientific Research Related to the Preservation of Sound Recordings, Still And Moving Images, and Magnetic Tape",ISBN 1-887334-27-0,1992,2015,http://www.clir.org/pubs/abstract/pub40.html/..//reports/child
The Evolving National Information Network,ISBN 1-887334-26-2,1992,2015,http://www.clir.org/pubs/abstract/pub39.html/..//reports/evolv
Preservation Film,ISBN 1-887334-25-4,1992,2015,http://www.clir.org/pubs/abstract/pub38.html/..//reports/pub38
Opto-Electronic Storage,ISBN 1-887334-24-6,1992,2015,http://www.clir.org/pubs/abstract/pub37.html/..//reports/weber
Report of the Task Forces on Archival Selection,ISBN 1-887334-23-8,1992,2015,http://www.clir.org/pubs/abstract/pub36.html/..//reports/arcrept
"The International Project, 1992 Update",ISBN 1-887334-22-X,1992,2015,http://www.clir.org/pubs/abstract/pub34.html/..//reports/intern92
A Hybrid Systems Approach to Preservation of Printed Materials,ISBN 1-887334-21-1,1992,2015,http://www.clir.org/pubs/abstract/pub32.html/..//reports/willis
Survey of Micropublishers,ISBN 1-887334-20-3,1992,2015,http://www.clir.org/pubs/abstract/pub29.html/..//reports/kesse
Preservation of New Technology. A Report of the Technology Assessment Advisory Committee,ISBN 1-887334-19-X,1992,2015,http://www.clir.org/pubs/abstract/pub28.html/..//reports/lesk
The Organizational Phase of Project Open Book,ISBN 1-887334-18-1,1992,2015,http://www.clir.org/pubs/abstract/pub27.html/..//reports/openbook
Joint Study in Digital Preservation,ISBN 1-887334-17-3,1992,2015,http://www.clir.org/pubs/abstract/pub26.html/..//reports/joint
Electronic Technologies and Preservation,ISBN 1-887334-16-5,1992,2015,http://www.clir.org/pubs/abstract/pub25.html/..//reports/waters
Preserving the Illustrated Text. Report of the Joint Task Force on Text and Image,ISBN 1-887334-15-7,1992,2015,http://www.clir.org/pubs/abstract/pub24.html/..//reports/presillu
Preservation and Access in China,ISBN 1-887334-14-9,1992,2015,http://www.clir.org/pubs/abstract/pub23.html/..//reports/china
"Computerization Project of the Archivo General de Indias, Seville, Spain",ISBN 1-887334-13-0,1992,2015,http://www.clir.org/pubs/abstract/pub22.html/..//reports/archivo
Jewelry History,ISBN 1-887334-12-2,1992,2015,http://www.clir.org/pubs/abstract/pub21.html/..//reports/jewel
Review and Assessment Committee Final Report,,1992,2015,http://www.clir.org/pubs/abstract/pub20.html/..//reports/revass
Report on Preservation Planning Project,ISBN 1-887334-10-6,1992,2015,http://www.clir.org/pubs/abstract/pub18.html/..//reports/upenn
"Computer Images for Research, Teaching, and Publication in Art History and Related Disciplines",,1992,2015,http://www.clir.org/pubs/abstract/pub17.html/..//reports/pub17
Working Together by Condict Gaye Stevenson,ISBN 1-887334-09-2,1992,2015,http://www.clir.org/pubs/abstract/pub16.html/..//reports/wktogthr
Preserving the Literary Heritage. The Final Report of the Scholarly Advisory Committee on Modern Language and Literature,ISBN 1-887334-08-4,1992,2015,http://www.clir.org/pubs/abstract/pub15.html/..//reports/miller
Copyright and Preservation,ISBN 1-887334-04-1,1992,2015,http://www.clir.org/pubs/abstract/pub11.html/..//reports/oakley
Preservation and Access Technology. A Structured Glossary of Technical Terms,ISBN 1-887334-03-3,1992,2015,http://www.clir.org/pubs/abstract/pub10.html/..//reports/lynn
Preservation Education Institute Final Report,ISBN 1-887334-02-5,1992,2015,http://www.clir.org/pubs/abstract/pub9.html/..//reports/educinst
Technical Considerations in Choosing Mass Deacidification Processes,ISBN 1-887334-01-7,1992,2015,http://www.clir.org/pubs/abstract/pub8.html/..//reports/sparks
Scholarly Resources in Art History,ISBN 1-887334-00-9,1992,2015,http://www.clir.org/pubs/abstract/pub7.html/..//reports/cpaarth
"Directory of Information Sources on Scientific Research Related to the Preservation of Books, Paper, and Adhesives",ISBN 1-887334-45-9,1992,2015,http://www.clir.org/pubs/abstract/pub6.html/..//reports/dirsci
Image Formats for Preservation and Access. A Report of the Technology Assessment Advisory Committee,ISBN 1-887334-39-4,1992,2015,http://www.clir.org/pubs/abstract/pub5.html/..//reports/pub5
